2026-06-23 21:20:00.446 | info | ucx98j1emwwzng | Traceback (most recent call last):\n
2026-06-23 21:20:00.446 | info | ucx98j1emwwzng |   File "/app/handler.py", line 339, in <module>\n
2026-06-23 21:20:00.446 | info | ucx98j1emwwzng |     load_models()\n
2026-06-23 21:20:00.446 | info | ucx98j1emwwzng |   File "/app/handler.py", line 145, in load_models\n
2026-06-23 21:20:00.446 | info | ucx98j1emwwzng |     from preprocess.dwpose import DwposeDetector\n
2026-06-23 21:20:00.446 | info | ucx98j1emwwzng |   File "/runpod-volume/FitDiT/preprocess/dwpose/__init__.py", line 12, in <module>\n
2026-06-23 21:20:00.446 | info | ucx98j1emwwzng |     from . import util\n
2026-06-23 21:20:00.446 | info | ucx98j1emwwzng |   File "/runpod-volume/FitDiT/preprocess/dwpose/util.py", line 3, in <module>\n
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng |     import matplotlib\n
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | ModuleNotFoundError: No module named 'matplotlib'\n
2026-06-23 21:20:00.447 | error | ucx98j1emwwzng | [FitDiT] FATAL: Failed to load models. Container will accept jobs but return errors.\n
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | --- Starting Serverless Worker |  Version 1.9.1 ---\n
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | Running 7 fitness check(s)...
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | GPU binary test passed: 1 GPU(s) healthy (CUDA 12.4)
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | Memory check passed: 211.65GB available (of 251.55GB total)
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | Disk space check passed: 19.98GB free (99.9% available)
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | Network connectivity passed: Connected to 8.8.8.8 (25ms)
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | CUDA version check passed: 12.4 (minimum: 11.8)
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | CUDA initialization passed: 1 device(s) initialized successfully
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | GPU compute benchmark passed: Matrix multiply completed in 85ms
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | All fitness checks passed. (932.01ms)
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | Jobs in queue: 1
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | Jobs in progress: 1
2026-06-23 21:20:00.447 | info | ucx98j1emwwzng | Started.
